state,hospital,bedsAvailable,totalBeds,ventilatorsAvailable,resourcesDispatched,phoneLabel,phone,sourceUrl,lastUpdated
Sikkim,Gyalshing CHC,6,60,5,1,Ambulance,108,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z
Sikkim,Pelling CHC,6,60,5,1,State Control Room,104,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z

Chandigarh,PGIMER Chandigarh,12,90,10,3,Ambulance,108,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z
Chandigarh,Government Multi Speciality Hospital,10,80,8,3,State Control Room,104,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z
Chandigarh,City Hospital Chandigarh,8,70,6,2,Ambulance,108,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z
Chandigarh,PGI Satellite Centre,8,70,6,2,Ambulance,108,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z
Chandigarh,Government Hospital Sector 16,6,60,5,1,State Control Room,104,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z
Chandigarh,Government Hospital Sector 22,6,60,5,1,Ambulance,108,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z
Chandigarh,Government Hospital Sector 32,6,60,5,1,Ambulance,108,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z
Chandigarh,Government Hospital Sector 44,6,60,5,1,State Control Room,104,https://chdhealth.gov.in/,2026-01-05T18:00:00.000Z

Telangana,Osmania General Hospital Hyderabad,24,180,20,7,Ambulance,108,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z
Telangana,Nizam's Institute of Medical Sciences Hyderabad,22,160,18,6,Ambulance,108,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z
Telangana,Government General Hospital Koti,20,140,16,5,State Control Room,104,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z
Telangana,Kakatiya Medical College Warangal,18,120,14,4,Ambulance,108,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z
Telangana,Medical College Mahbubnagar,16,100,12,3,Ambulance,108,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z
Telangana,Government Hospital Karimnagar,14,90,10,3,State Control Room,104,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z
Telangana,Govt. Hospital Nizamabad,12,80,8,2,Ambulance,108,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z
Telangana,General Hospital Ramagundam,12,80,8,2,Ambulance,108,https://telanganahealth.gov.in/,2026-01-05T18:00:00.000Z

Andaman & Nicobar Islands,Govt. Hospital Port Blair,12,90,10,3,Ambulance,108,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z
Andaman & Nicobar Islands,GB Pant Hospital,10,80,8,3,State Control Room,104,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z
Andaman & Nicobar Islands,Chatham Hospital,8,70,6,2,Ambulance,108,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z
Andaman & Nicobar Islands,Rangat District Hospital,8,70,6,2,Ambulance,108,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z
Andaman & Nicobar Islands,Hut Bay Hospital,6,60,5,1,State Control Room,104,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z
Andaman & Nicobar Islands,Mayabunder Hospital,6,60,5,1,Ambulance,108,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z
Andaman & Nicobar Islands,Diglipur Hospital,6,60,5,1,Ambulance,108,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z
Andaman & Nicobar Islands,Havelock Hospital,6,60,5,1,State Control Room,104,https://andamanhealth.gov.in/,2026-01-05T18:00:00.000Z

Dadra & Nagar Haveli and Daman & Diu,Dadra Hospital,10,80,8,3,Ambulance,108,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z
Dadra & Nagar Haveli and Daman & Diu,Daman Hospital,10,80,8,3,State Control Room,104,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z
Dadra & Nagar Haveli and Daman & Diu,Silvassa Hospital,8,70,6,2,Ambulance,108,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z
Dadra & Nagar Haveli and Daman & Diu,Diu Hospital,8,70,6,2,Ambulance,108,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z
Dadra & Nagar Haveli and Daman & Diu,Ambli Hospital,6,60,5,1,State Control Room,104,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z
Dadra & Nagar Haveli and Daman & Diu,Khanvel CHC,6,60,5,1,Ambulance,108,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z
Dadra & Nagar Haveli and Daman & Diu,Udvada Hospital,6,60,5,1,Ambulance,108,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z
Dadra & Nagar Haveli and Daman & Diu,Nani Daman Hospital,6,60,5,1,State Control Room,104,https://dnh.gov.in/health,2026-01-05T18:00:00.000Z

Lakshadweep,Lakshadweep Hospital Kavaratti,10,80,8,3,Ambulance,108,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z
Lakshadweep,Minicoy Hospital,8,70,6,2,State Control Room,104,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z
Lakshadweep,Amini Hospital,8,70,6,2,Ambulance,108,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z
Lakshadweep,Kavaratti CHC,6,60,5,1,Ambulance,108,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z
Lakshadweep,Kiltan CHC,6,60,5,1,State Control Room,104,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z
Lakshadweep,Chetlat CHC,6,60,5,1,Ambulance,108,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z
Lakshadweep,Bangaram CHC,6,60,5,1,Ambulance,108,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z
Lakshadweep,Kadmat CHC,6,60,5,1,State Control Room,104,https://health.lakshadweep.gov.in/,2026-01-05T18:00:00.000Z

Puducherry,Jawaharlal Institute of Postgraduate Medical Education & Research,12,90,10,3,Ambulance,108,https://health.py.gov.in/,2026-01-05T18:00:00.000Z
Puducherry,Indira Gandhi Government General Hospital,10,80,8,3,State Control Room,104,https://health.py.gov.in/,2026-01-05T18:00:00.000Z
Puducherry,Goubert Hospital,8,70,6,2,Ambulance,108,https://health.py.gov.in/,2026-01-05T18:00:00.000Z
Puducherry,Ariyankuppam CHC,8,70,6,2,Ambulance,108,https://health.py.gov.in/,2026-01-05T18:00:00.000Z
Puducherry,Karaikal Hospital,6,60,5,1,State Control Room,104,https://health.py.gov.in/,2026-01-05T18:00:00.000Z
Puducherry,Mahe Hospital,6,60,5,1,Ambulance,108,https://health.py.gov.in/,2026-01-05T18:00:00.000Z
Puducherry,Yanam Hospital,6,60,5,1,Ambulance,108,https://health.py.gov.in/,2026-01-05T18:00:00.000Z
Puducherry,Thirubuvanai CHC,6,60,5,1,State Control Room,104,https://health.py.gov.in/,2026-01-05T18:00:00.000Z

Jammu & Kashmir,SMHS Srinagar,24,180,20,7,Ambulance,108,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z
Jammu & Kashmir,GMC Jammu,22,160,18,6,Ambulance,108,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z
Jammu & Kashmir,District Hospital Anantnag,20,140,16,5,State Control Room,104,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z
Jammu & Kashmir,District Hospital Baramulla,18,120,14,4,Ambulance,108,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z
Jammu & Kashmir,District Hospital Udhampur,16,100,12,3,Ambulance,108,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z
Jammu & Kashmir,District Hospital Kulgam,14,90,10,2,State Control Room,104,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z
Jammu & Kashmir,District Hospital Pulwama,12,80,8,2,Ambulance,108,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z
Jammu & Kashmir,District Hospital Kathua,12,80,8,2,Ambulance,108,https://jkhealth.gov.in/,2026-01-05T18:00:00.000Z

Ladakh,Dr. Ram Manohar Lohia Hospital Leh,12,90,10,3,Ambulance,108,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
Ladakh,Leh District Hospital,10,80,8,3,State Control Room,104,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
Ladakh,Kargil District Hospital,8,70,6,2,Ambulance,108,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
Ladakh,Sub District Hospital Nubra,8,70,6,2,Ambulance,108,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
Ladakh,Sub District Hospital Zanskar,6,60,5,1,State Control Room,104,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
Ladakh,Sub District Hospital Khaltsi,6,60,5,1,Ambulance,108,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
Ladakh,Sub District Hospital Nyoma,6,60,5,1,Ambulance,108,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
Ladakh,Sub District Hospital Diskit,6,60,5,1,State Control Room,104,https://ladakhhealth.gov.in/,2026-01-05T18:00:00.000Z
